Name,Website,HQ,Type,Estimated Site Count,States,Intera ICP Score,Overall Site Quality,Recruitment Strength,Operational Maturity,Sponsor Attractiveness,Therapeutic Expertise,Historical Trials (CT.gov),Completed,Terminated/Withdrawn,Completion Rate %,Active Now,Recruiting Studies,Phase 2 Trials,Phase 3 Trials,Total Realized Enrollment,First Study Year,Years Active,Therapeutic Breadth (conditions),Performance Match Confidence,Sponsor Diversity (#),CRO Diversity (#),Repeat Sponsors (#),Industry-Sponsored Studies,Top Sponsors,Named CROs,Enrollment Velocity (inf),Startup Speed (inf),Recruitment Sophistication,Publication History (inf),CTMS,EHR,eSource,eConsent,Florence,CRIO,Clinical Conductor,RealTime,Epic,Cerner,Therapeutic Areas,Therapeutic Specialties (detail),Languages,Home Visits,Decentralized Capabilities,Number of Investigators,Approx Coordinator Count,Sponsors Worked With,CROs Worked With,Public Partnerships,Recent Hiring,Expansion,Funding,Acquisitions,Owner/Parent/Funding,Facebook Ads,Meta Pixel,Google Ads,SEO,Trial Finder,Patient Database,Recruitment Pages,Advertises Patient Recruitment,Technology Stack,Uses AI,Builds Tech Internally or Vendors,Current Recruiting Studies Visible,CEO,VP Clinical Operations,VP Site Operations,VP Recruitment/Innovation,Contact Emails,LinkedIn URL,Mentions DCT,Recruitment Capability,Notes
Northeast Research Institute,https://nerifl.com,"Fleming Island, Florida",Site Network,3,Florida,7,89,75,91,96,98,800,455,80,85,246,92,282,416,839373,1984,42,1504,low (approx),217,149,77,661,National Cancer Institute (NCI); Alliance for Clinical Trials in Oncology; SWOG Cancer Research Network; Radiation Therapy Oncology Group; Eli Lilly and Company; Novo Nordisk A/S,"Acrotech Biopharma Inc.; IQVIA Pty Ltd; Medpace, Inc.; MicroConstants; MicroPort CRM; Premier Research",19985,72,43,98,,,Y,,,,,,,,"Obesity, Type 2 Diabetes, Cardiovascular disease, Diabetes, Overweight, Chronic kidney disease, Heart failure, Stroke, Myocardial infarction, Inflammation, Non-alcoholic lung cancer","Obesity, Type 2 Diabetes, Overweight, Cardiovascular, Renal Disease, Blood Pressure, Thyroid, Inflammation",English + Spanish (detected),Y; outpatient patient-centered approach,Y; outpatient research model across 3 Florida locations,Multiple clinicians,5 employees,"Pharmaceutical and biotechnology companies (Lilly, others)",,,Limited evidence,,,,Private/independently held (founded 2017),,,,Moderate; listed in Veeva CTV and Clinical Trials.gov,Y,,Y,Y,Modern EDC systems capable of data transmission to sponsors; centralized regulatory and compliance infrastructure,N,Vendors (EDC systems),Y,,Kelly Bakkar (Director of Operations),Kelly Bakkar,,unitedstates@bitrialsupport.com,https://www.linkedin.com/company/northeast-research-institute,N,"Multi-site recruitment (Fleming Island, Jacksonville, and third location); enrollment across cardiometabolic and metabolic disease spaces; compensation available","Site network with 3 Florida locations and 6 active recruiting cardiometabolic trials confirmed (ClinicalTrials.gov validation). Founded 2017; rapid growth from 1 site/1 trial to 3 sites/28+ trials within 5 years. Focus on obesity, diabetes, and cardiovascular disease aligns with high-volume cardiometabolic space. Strong operational infrastructure with centralized management. Score reflects: multi-site network, cardiometabolic specialization, growth trajectory, professional operations team; limited by younger organizational age and undefined CEO-level leadership."
Clinical One Research,https://www.clinicaloneresearch.com,"Orlando, FL",Independent Network,3,FL,5,89,89,87,89,93,623,288,73,80,246,96,212,333,649341,1998,28,1280,low,163,108,55,503,National Cancer Institute (NCI); Gilead Sciences; Eli Lilly and Company; AbbVie; SWOG Cancer Research Network; Alliance for Clinical Trials in Oncology,"IQVIA Biotech; IQVIA RDS Inc.; Medpace, Inc.; PPD Development, LP; PPD, Part of Thermo Fisher Scientific; Parexel",23191,90,86,90,Generic/Unnamed,,Y,,,,,,,,"Cardiometabolic, Gastroenterology, Hepatology, Inflammatory Bowel Disease, Metabolic Liver Disorders, Multiple areas","Cardiology, Gastroenterology, Phase II-IV; non-alcoholic fatty liver disease, ulcerative colitis",English + Spanish (detected),,,"6 named investigators (Seela Ramesh MD, Suvarchala Dara MD, Shoba Theivanayagam MD, Laurie Letizia PA-C, Eliam Fuentes-Tirado MD, Leon Hendley MD)",Small team; specific count unknown,Multiple pharma sponsors,Yes,Healthcare provider partnerships,,"3 locations (Orlando, Kissimmee, Vero Beach, FL)",Private; small operation (1-10 employees),None mentioned,Self-owned; private,Y (Meta Pixel detected),Y,,Moderate; research trial listings,Y,"Y - database of 50,000 patients",Y,Y,Unknown,N,Unknown,Y,Unknown,"Seela Ramesh, MD (Principal Investigator, Gastroenterologist)",Unknown,"Suvarchala Dara, MD (Principal Investigator, Cardiologist)","info@clinicaloneresearch.com, info@revivalclinical.com",https://www.linkedin.com/company/clinical-one-research,N,"Robust patient database of 50,000 individuals; efficient enrollment targeting; Phase II-IV expertise; board-certified physicians","Small network (3 sites in Florida region) limits scale. Strong cardiometabolic + gastroenterology expertise with 50K patient database. Currently recruiting across multiple studies (NASH, ulcerative colitis, etc.). Limited geographic reach and small site footprint. No evidence of internal tech development or AI adoption. Good patient recruitment capability but limited multi-site complexity."
Healthcare Research Network,https://healthcareresearchnetwork.com,"Blue Island, IL (Midwest)",Site Network,Multispecialty network (exact count not specified),Midwest,5,89,74,92,99,96,800,415,100,81,260,112,188,493,1109386,1994,32,1156,low (approx),310,280,90,713,Pfizer; National Cancer Institute (NCI); Eli Lilly and Company; Alliance for Clinical Trials in Oncology; Gilead Sciences; Merck Sharp & Dohme LLC,"ICON Clinical Research; IQVIA Pty Ltd; Medpace, Inc.; Microvention-Terumo, Inc.; PPD, Part of Thermo Fisher Scientific; Parexel",34668,90,29,94,,,Y,Y,,,,,,,Multispecialty (Phase IIB-IV focus),"Phase II-IV: Diabetes, GI (Crohn's, IBS, UC, GERD), Rheumatology (RA, Gout), Oncology, Alzheimer's",English + Spanish (detected),,"Y - Multiple Midwest locations (IL, MO)",50+ affiliated physicians from multiple specialties,Unknown (est. 50+ investigators),100+ sponsors/CROs since 1998,Multi-site research network model,,,"Y - Multiple Midwest locations (Blue Island IL, Flossmoor IL, Tinley Park IL, Hazelwood MO)",,,Unknown,,,,"Y - 1000+ completed studies, established 1998",Y,,,Y,Not mentioned,N,Unknown,Y,Unknown (Jamil Hantash listed as Co-Owner per LinkedIn),Unknown,Unknown,Unknown,,https://www.linkedin.com/company/healthcare-research-network-i-i-l-l-c,N,In-house patient recruitment; access to cutting-edge therapies at no cost to patients,"Established 1998, first in Midwest with Phase IIB-IV standalone multispecialty facilities. 1000+ studies, 100+ sponsors/CROs. Clinician-led. Midwest-only footprint. No visible tech innovation. Weak fit: Small regional network, limited tech, no recruitment marketing, established but stagnant growth signals. [Validated: 10 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
Pacific Research Network,https://prnsd.com,"San Diego, CA",Independent Network,2,CA,3,89,82,87,95,93,638,372,83,82,164,73,209,365,619873,1992,34,1101,high,227,139,74,570,National Cancer Institute (NCI); Pfizer; Eli Lilly and Company; Alliance for Clinical Trials in Oncology; Bristol-Myers Squibb; SWOG Cancer Research Network,"ICON Clinical Research; Medpace, Inc.; Novotech Health Holdings Pte. Ltd.; PRA Health Sciences; Premier Research; Syneos Health",18232,71,71,94,,,Y,Y,,,,,,,"Neurology/CNS focus: Alzheimer's, Memory Loss, Anxiety, Migraine, Sleep Disorders, Sexual Dysfunction, Smoking Cessation, Social Anxiety, Weight Loss","50+ indications, CNS, Addiction, Memory loss, Sleep, Migraine, Anxiety, Neurological disorders",English + Spanish (detected),,Y,,,Multiple (250+ trials),Multiple,Evolution Research Group (ERG network),,,,,"Part of ERG Network; founder-led by Stephen G. Thein, PhD; founded 1988",Y,Y,,Y,Y,,Y,Y,Unknown,N,Unknown,Y,"Stephen G. Thein, PhD (Director/Founder)",Unknown,Unknown,Unknown,Unknown,https://www.linkedin.com/company/pacific-research-network,N,"Safe, precise, well-controlled clinical research; 35+ years experience; 250+ clinical trials; Alzheimer's specialty","Founder-led by Dr. Stephen Thein (conducted 250+ trials, CNS expert). 2 sites (San Diego, Rancho Bernardo/Vista). Very specialized in neurology/CNS/Alzheimer's. Limited geographic and therapeutic breadth. Small scale."
Rochester Clinical Research,https://rcrclinical.com,"Rochester, New York",Site Network,2,New York,7,88,80,90,92,91,529,306,55,85,154,64,190,266,402706,1993,33,960,high,233,128,62,433,National Cancer Institute (NCI); Pfizer; National Institute of Allergy and Infectious Diseases (NIAID); AbbVie; SWOG Cancer Research Network; Eli Lilly and Company,"Crohn's and Colitis Foundation; ICON Clinical Research; PPD Development, LP; PPD, Part of Thermo Fisher Scientific; PRA Health Sciences; Rho Federal Systems Division, Inc.",12203,92,86,91,,,,,,,,,,,"Cardiovascular, Dermatology, Endocrinology, Gastrointestinal, Genitourinary, Medical Devices, Musculoskeletal, Neurology, Vaccines",Multiple Phase I-IV (not specified),English + Spanish (detected),,,,,Multiple,,Atlas Clinical Research/BPOC,"Y - Atlas hiring (Florida, NY, NC, PA)",Y - Expanded to Buffalo NY; Atlas platform expanding,Acquired by Atlas/BPOC with PNC Erieview (2023),Acquired by Atlas Clinical Research (April 2023),Part of Atlas Clinical Research (BPOC portfolio company),Y,Y,,Y - recruitment pages,Y,"Y - 1,200+ trials, 55,000+ volunteers",Y,Y,"NY State CLIA certified on-site lab, state-of-the-art clinical suites, electronic reporting systems",N,Vendors,Y,Mark Scullion (Atlas Clinical Research CEO),Unknown,Unknown,Unknown,Unknown,https://www.linkedin.com/company/jacksonville-center-for-clinical-research,N,"Very Strong - 1,200+ trials conducted, 55,000+ volunteers, on-site laboratory, inpatient capabilities","Established site network (2 locations: Rochester, Buffalo NY). 10 active recruiting cardiometabolic trials per ClinicalTrials.gov. Founded 1994 with deep experience. Part of Atlas Clinical Research network (formed 2023, merged with Alliance 2026). Strong operational credentials and 55k volunteer database. Limited to NY. No AI/modern recruitment tech mentioned."
Peninsula Research Associates,https://peninsularesearch.com/,California,Independent Site,1,California,6,88,77,93,89,93,606,373,61,86,160,46,192,337,963871,1989,37,1156,high,141,102,63,490,National Cancer Institute (NCI); SWOG Cancer Research Network; Radiation Therapy Oncology Group; Alliance for Clinical Trials in Oncology; Pfizer; Shire,"Covance; ICON Clinical Research; Medpace, Inc.; PPD Development, LP; Parexel; Teva Branded Pharmaceutical Products R&D, Inc.",26051,93,43,94,CRIO,,Y,Y,,,,,,,"Allergic Rhinitis, Asthma, COPD, COVID-19, Hypertension, Pneumonia, Sinusitis, Vaccines, General Medicine","Allergy, asthma, COPD, vaccines, pediatrics",English/Spanish,,,2+ (Dr. Sher + others),,,,Part of Headlands Research (acquired 2022),,Acquired by Headlands Research 2022; part of 20+ site network,Part of Headlands network,Acquired by Headlands Research (June 2022),"Headlands Research, Inc. (Parent Company)",,,,,Y,N,Y,Y,CRIO clinical trial management system,N,N,Y,"Lawrence D. Sher, MD, FAAP (Medical Director/Founder)",Unknown,Unknown,Leigh A. Schmidt (Leadership team member),"leighann.schmidt@pvmedgroup.com, renee.goldstein@pvmedgroup.com, debbie.cappy@peninsularesearch.com",https://www.linkedin.com/company/peninsula-research,N,High - 200+ trials as PI,"Founded 1999. ClinicalTrials.gov validation: 7 active recruiting cardiometabolic trials. Established reputation for quality clinical trials. 7,000 sq ft facility with dedicated PBMC lab and vaccine storage. Conducts Phase I-IV trials with broad therapeutic mix including cardiometabolic focus."
Center for Clinical Studies,https://www.ccstexas.com/,"Houston/Webster, TX",Independent Network,2,TX,3,88,73,92,98,91,800,555,119,82,114,48,274,413,948807,1995,31,608,low (approx),281,138,104,731,Pfizer; AbbVie; Eli Lilly and Company; National Cancer Institute (NCI); Amgen; Novo Nordisk A/S,"Acrotech Biopharma Inc.; ICON Clinical Research; Medpace, Inc.; PPD Development, LP; Parexel; Premier Research",30607,91,29,89,,,,,,,,,,,"Dermatology, infectious diseases (shingles, genital herpes, warts), rosacea, atopic dermatitis, actinic keratosis, psoriasis, psoriatic arthritis","Dermatology, Infectious Disease: Acne, Psoriasis, Atopic Dermatitis, Genital Herpes, Hidradenitis Suppurativa, Rosacea, Shingles",,,"Y - Two locations (Houston & Webster, TX)",~2,~3-4,Multiple pharma sponsors,Multiple,UT Health Science Center Houston (Dr. Tyring's lab),"Y - Research Fellows, Clinical Staff (2027 fellowships posted)",Y - Growing; 20% YoY employee growth; multiple locations,,,Private; Founded 1997 by Dr. Stephen Tyring & Dr. Patricia Lee,,,,"Good presence; 25+ years founders, Phase I-IV expertise visible",,,Y,Y,Unknown,N,Unknown,Y,"Unknown (Co-founded by Stephen K. Tyring, MD and Patricia Lee, MD)",Unknown,Unknown,Unknown,info@ccstexas.com,https://www.linkedin.com/company/ccstexas,N,Highly recognized for recruitment excellence; active enrollment; patient-friendly environment with same-day visit options for acute conditions,"Two-site, highly specialized dermatology/infectious disease center. Strong reputation for patient recruitment and trial excellence within niche. Limited to dermatology, small footprint, single therapeutic area limits broader Intera appeal. Weak fit for platform seeking multi-therapeutic, multi-site networks. [Validated: 4 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
Coastal Clinical Research Inc,https://www.coastalclinicalresearch.com,"Mobile, AL",Independent Network,1,AL,3,88,80,87,96,92,790,537,83,87,161,57,227,479,1408596,1999,27,949,low (approx),264,101,111,752,Pfizer; Eli Lilly and Company; National Cancer Institute (NCI); AbbVie; Novo Nordisk A/S; Shire,"Acrotech Biopharma Inc.; ICON plc; IQVIA Biotech; IQVIA Pty Ltd; Lexicon Pharmaceuticals; Medpace, Inc.",52170,74,43,89,,,Y,Y,,,,,,,"Internal Medicine, Multi-specialty",Multi-specialty: Phase I-IV across various conditions,English + Spanish (detected),,,~2-3,~4-6,Multiple sponsor partners,Multiple,Springhill Medical Center (facility partnership),,,,,Unknown,,,,"Moderate; founded 1987, long-standing in Mobile, AL market",Y,Y,Y,N,Unknown,N,Unknown,Y,Katherine M. Welch,Unknown,Unknown,Unknown,mail@ccr-research.com,https://www.linkedin.com/company/coastal-clinical-research-inc,N,Single-site traditional model; multiple trial enrollments visible,Single Mobile AL site; operating since 1987; traditional research model; 2 employees; $11M revenue; old-style internal medicine focus; minimal innovation; poor fit for Intera network expansion [Validated: 6 active recruiting cardiometabolic trials on ClinicalTrials.gov.]
Irvine Clinical Research,https://www.irvineclinical.com,"Irvine, California",Independent Site,5,California,8,87,81,82,94,94,635,274,90,75,259,114,213,371,15803865,1997,29,1352,high,202,178,68,512,National Cancer Institute (NCI); Pfizer; Eli Lilly and Company; Hoffmann-La Roche; SWOG Cancer Research Network; AbbVie,"Clinipace Worldwide; Covance; ICON Clinical Research; Medpace, Inc.; PPD Development, LP; PPD, Part of Thermo Fisher Scientific",544961,68,43,91,,,Unknown (trained in multiple EDC systems),,,,,,,,"Neurology, Psychiatry, Alzheimer's Disease, Major Depressive Disorder, Obesity Medicine, Memory Disorders","CNS (neurology, psychiatry), Alzheimer's disease - largest independent memory research center West Coast",English + Spanish (detected),N,N,Multiple (Elly Lee CMO/President),Multiple clinical research coordinators,Leading pharmaceutical companies (unnamed),,Wills Eye Hospital affiliation implied,,,,,Privately held physician-investigator owned clinic; Founded 1978 (Irvine location 2005),,,,,,Y,Y,Yes,"EDC systems, electronic diaries, rapid regulatory turnaround",Unknown,Vendors (multiple EDC systems),Yes,"Ralph Lee, ACRP-CP (Certified Clinical Research Professional)",Unknown,Unknown,Unknown,info@irvineclinical.com,https://www.linkedin.com/company/irvineclinical,No,"Yes - Large database, rapid screening capability","ClinicalTrials.gov signal: 5 recruiting trials across 1 location(s), states: California. West Coast's largest independent memory research center. 32 employees, $1.7M revenue. CEO Ralph Lee with 22+ years experience managing 300+ Phase I-IV trials. CMO/President Dr. Elly Lee, MD, 20+ years neurology/psychiatry, 300+ trials. Largest contributor to FDA-approved Alzheimer's medications. Multi-specialty physicians with proven enrollment track records. Two-day regulatory/contract turnaround. Strong operational capability and tech integration."
Texas Valley Clinical Research,https://www.tvcrtrials.com,"Rio Grande Valley, Texas",Site Network,3,Texas,6,87,80,88,92,89,528,308,66,82,141,58,146,305,546025,1995,31,862,high,206,127,63,484,Eli Lilly and Company; Pfizer; National Cancer Institute (NCI); AbbVie; Novo Nordisk A/S; Hoffmann-La Roche,"Acrotech Biopharma Inc.; Clinipace Worldwide; ICON Clinical Research; IQVIA Biotech; MacroGenics; Medpace, Inc.",17614,91,71,89,Veeva-based (CTV platform),,Y,,,,,,,,"Type 2 Diabetes, Obesity (pediatric & adult), Type 1 Diabetes, Cardiovascular, Alzheimer's Prevention, Hypothyroidism, Prader-Willi Syndrome","Obesity, Type 2/1 Diabetes, Cardiovascular disease, Alzheimer's Prevention, Hypothyroidism, Pediatric Obesity",English/Spanish (bilingual staff),,,"Preston Hale, RN director + team",Full research team (exact number unknown),Master agreements with multiple sponsors,,Community-centered research partnerships,,Y - founded 2022; 3 sites in Rio Grande Valley,,,Unknown,Y,Y,,Y - website with study information,Y,,Y,Y,"DEXA scanning (Weslaco), basic operational systems",N,Unknown,Y,Unknown,Unknown,Unknown,Diana Burt (Regulatory & IP Director),czarina@tvcrtrials.com,Unknown,N,"Strong - multiple active trials, bilingual support (English/Spanish), community focus in Rio Grande Valley",Multi-location network (3 sites) in Rio Grande Valley. 12 active recruiting cardiometabolic trials per ClinicalTrials.gov. Strong regional focus on underserved Latino population. Multiple active trials in metabolic and cardiovascular disease. Growing regulatory expertise. Limited geographic footprint and unknown ownership structure limit Intera fit.
Ochsner Health Research,https://research.ochsner.org,"New Orleans, LA",Academic Network,50+,"LA, MS",5,87,63,94,97,99,800,430,75,85,273,107,267,387,665906,1988,38,1752,low (approx),243,262,72,627,National Cancer Institute (NCI); Children's Oncology Group; Alliance for Clinical Trials in Oncology; Radiation Therapy Oncology Group; SWOG Cancer Research Network; Pfizer,"Ethicon, Inc.; ICON Clinical Research; IQVIA Pty Ltd; MacroGenics; Medpace, Inc.; PRA Health Sciences",17524,92,14,98,Uses CTMS (optimization role active),Epic,Y,,,,,,,,"Multi-disciplinary; Oncology (NCORP), General Medicine","Oncology, Biomedical innovation (multidisciplinary focus)",English + Spanish (detected),,Y - Pfizer partnership on digital trials using FHIR,,,"Pfizer, multiple pharma sponsors",Multiple collaborations,"Pfizer strategic alliance (iO), PCORI, LSU Health, regional academic institutions",Y - multiple open research coordinator and analytics roles,Strategic digital innovation partnerships with Pfizer,Pfizer partnership funding,,Ochsner Health System (nonprofit health system),,,,Limited blog/content presence,,,Y,N,Unknown,Unknown,Unknown,Y,Unknown,Unknown,Unknown,Unknown,,https://www.linkedin.com/company/ochsner-health-system,N,Integrated health system with clinical trials access; NCORP support,Large health system with 50+ research sites through Gulf South NCORP network. Strong academic foundation but nonprofit/bureaucratic model may limit commercial agility. [Validated: 4 active recruiting cardiometabolic trials on ClinicalTrials.gov.]
Southeast Regional Research Group,https://www.clinicaltrialsgps.com,"Savannah, GA",Site Network,3,GA,5,87,75,93,87,96,680,371,66,85,227,52,249,377,841452,1984,41,1605,high,139,88,51,493,National Cancer Institute (NCI); Alliance for Clinical Trials in Oncology; SWOG Cancer Research Network; Radiation Therapy Oncology Group; ECOG-ACRIN Cancer Research Group; NRG Oncology,"Fortrea; IQVIA Pty Ltd; PPD, Part of Thermo Fisher Scientific; Parexel; Premier Research; The Emmes Company, LLC",20523,92,43,96,,,,,,,,,,,"Multi-therapeutic: Hypertension, Chronic Pain, Diabetes, COPD, and others","Multi-specialty research: skin infections, infectious diseases, general research",English,N,N,Multiple (Jeff Kingsley DO CEO noted),6+ (Certified Research Coordinators and nursing staff),Multiple pharma sponsors (unnamed),Multiple CROs served,Columbus Regional Healthcare System (40% ownership partnership),,"Yes (partnership with Columbus Regional, expansion to campus planned)",,Acquired 40% ownership stake by Columbus Regional Healthcare,Unknown,,,,,Y,Y,,Y,Unknown,N,Unknown,Y,Unknown,Unknown,Unknown,Unknown,NewTrials@SERRG.com,Unknown,N,"Multi-site coordination across Savannah, Rincon, and Columbus; hospital and clinic partnerships; comprehensive ancillary services",Three-site network in Georgia with multi-therapeutic focus; established relationships with hospitals and clinics; Phase II-IV capability; regional scope; moderate Intera fit—limited geographic footprint and modest scale but growing.
Clinical Trials of South Carolina,https://clinicaltrialssc.com/,"Charleston, South Carolina",Independent Network,1,South Carolina,4,87,70,92,97,90,746,465,98,83,176,92,171,499,1318321,1993,33,648,high,265,149,88,728,Pfizer; AbbVie; Eli Lilly and Company; Gilead Sciences; Boehringer Ingelheim; Hoffmann-La Roche,"ICON Clinical Research; IQVIA Biotech; IQVIA Pty Ltd; Medpace, Inc.; PPD Development, LP; PPD, Part of Thermo Fisher Scientific",39949,92,14,92,,,,,,,,,,,"Chronic pain, family medicine, neurology, mental health (Phase I-IV)","Multi-therapeutic (depression, anxiety, dermatology, infection, cancer, stroke, substance use disorders)",,,,,,,,,,Established since 2010,,,Private,,,,N (no blog detected),,,,Y,Unknown,N,Unknown,Y,"Unknown (Edward Tavel, MD leadership noted)",Unknown,Unknown,Unknown,,,N,"Full-cycle trial site, 100K+ patient database access, diverse enrollment focus",Single-site Charleston research center with multi-therapeutic capability and diverse enrollment focus. Strong patient database access and full-cycle coordination. Limited by single-site model; moderate fit for recruitment platform. [Validated: 21 active recruiting cardiometabolic trials on ClinicalTrials.gov.]
Cardiovascular Institute of the South,https://www.cardio.com/,Louisiana,Site Network,23,"Louisiana, Mississippi",8,86,79,85,96,86,656,327,100,77,216,107,72,317,1089976,2000,26,503,high,228,169,80,616,Abbott Medical Devices; Boehringer Ingelheim; Boston Scientific Corporation; Merck Sharp & Dohme LLC; Pfizer; Eli Lilly and Company,"ICON Clinical Research; IQVIA Biotech; IQVIA Pty Ltd; Medpace, Inc.; Micro Medical Solution, Inc.; MicroPort CRM",41922,88,43,83,,Custom built (Objective Medical Systems - OMS cardiology-specific),,,,,,,,,"Cardiology, Interventional Cardiology, Peripheral Vascular Disease, Structural Heart, Arrhythmia Management","Cardiology; arrhythmias, CAD, cholesterol, heart failure, hypertension, PAD, valve disease",,N,N,63 cardiologists,Unknown; part of 900+ team members,Multiple pharma/device sponsors (unspecified),,,,23 locations across Louisiana/Mississippi; 900+ team members; telemedicine at 8 sites,,None identified,Independent (part of Cardiovascular Logistics Health network),,,,Strong; 30+ active research trials; leading edge in interventional cardiology research,Y,,Y,Y,State-of-the-art cardiovascular diagnostic and interventional equipment,Unknown,Y,Y,"Dr. Craig Walker, MD (Founder and President)",Unknown,Unknown,Unknown,craig.walker@cardio.com,https://www.linkedin.com/company/cardiovascular-institute-of-the-south,N,Very High - 63 cardiologists across 23 locations,Founded 1983. ClinicalTrials.gov validation: 7 active recruiting cardiometabolic trials. World-renowned with 41+ years excellence in cardiovascular research and innovation. 900+ team members. Large multi-state network with research development leadership. Strong fit for recruitment platform.
Pinnacle Clinical Research,https://www.pinnacleresearch.com,"San Antonio, TX",SMO,12+,"TX (multiple: San Antonio, Austin, Georgetown, Dallas, Houston, Brownsville, Corpus Christi, Edinburg), NJ (Ridgewood, Springfield), NV (Las Vegas)",8,86,83,87,90,84,423,255,41,86,123,43,144,181,442173,1998,28,564,high,169,123,68,384,National Cancer Institute (NCI); Eli Lilly and Company; Pfizer; Gilead Sciences; Hoffmann-La Roche; Boehringer Ingelheim,"IQVIA Pty Ltd; MacroGenics; Medpace, Inc.; PPD Development, LP; PRA Health Sciences; Parexel",15792,93,86,83,,,Y,,,,,,,,"Hepatology (liver disease, NAFLD, NASH focus), Gastroenterology, CNS (Alzheimer's Disease), Metabolic Disorders, Cardiovascular","CNS, Obesity, Liver Disease (MASLD/MASH), Alzheimer's",English + Spanish (detected),,"Y - 15 sites across 3 states (TX, NJ) and expanding",Multiple (expansion through acquisitions),100+ full-time employees,Multiple pharma (not named),Multiple,Network of member clinics,Y - rapid expansion with acquisitions,"Y - 12 sites (2024), acquired Kerwin, CRCNJ, Bellaire, Palmetto Low Country, Dallas Research Institute",PE - LongueVue Capital (November 2022),"Kerwin Medical Center, The Cognitive and Research Center of NJ, Bellaire Clinical Research, Palmetto Low Country, Dallas Research Institute, South Texas Research Institute","LongueVue Capital (PE-backed, Nov 2022); founder Dr. Stephen Harrison (passed April 2024); CEO Adrian Otte (35+ yrs pharma/life sciences experience at Amgen, Pfizer, PAREXEL)",Y,Y,Y,Y,Likely,Y,Y,Y,Unknown,N,Unknown,Y,Adrian Otte,Unknown,Unknown,Unknown,info@pinnacleresearch.com; peopleandculture@pinnacleresearch.com,https://www.linkedin.com/company/pinnacleclinicalresearch,N,"Fast, reliable recruitment; diverse population access; experience with complex trials; rapid enrollment timelines","PE-backed multi-site network; 12+ sites as of 2024 (rapid expansion from 3 in 2022); specialized expertise in complex therapeutic areas (hepatology, liver disease); diversified therapeutic portfolio post-acquisitions; multiple concurrent recruiting studies; strong enrollment track record. Growth-focused platform. Good Intera fit: scale, recruitment focus, multiple studies, PE-backed momentum. [Validated: 12 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
South Texas Research Institute,https://www.pinnacleresearch.com,"Edinburg, Texas",Site Network,2,Texas,6,86,79,89,91,87,468,273,49,85,136,73,134,253,385712,1994,32,708,high,206,130,58,420,Pfizer; Children's Oncology Group; AbbVie; Radiation Therapy Oncology Group; Hoffmann-La Roche; SWOG Cancer Research Network,"Clinipace Worldwide; ICON Clinical Research; IQVIA Pty Ltd; MacroGenics; Microvention-Terumo, Inc.; PPD Development, LP",12054,92,86,88,,,Y,,,,,,,,"Fatty Liver Disease, NASH (Non-alcoholic Steatohepatitis), NAFLD, Cardiovascular, Alzheimer's","CNS, Obesity/MASLD/MASH, Cardiometabolic disorders",Spanish/English (serving underrepresented populations),,,Multiple board-certified,Large team (103 total employees),Multiple pharma (names not disclosed),Multiple (names not disclosed),Merged with Summit Clinical Research Solutions (May 2026),Yes - expansion phase,"Yes - 14 sites, acquired Houston Research Institute (Feb 2025)",Merged into Summit Clinical Research Solutions (May 2026),Acquired Houston Research Institute (Feb 2025),Owned by Pinnacle Clinical Research (acquired Jan 2023); Pinnacle portfolio of LongueVue Capital,Y,Y,Y,Blog/website content; strong organic presence,,Y,Y,Y,Not specified,N,Unknown,Y,"Dr. Rashmee Patil (Founder, now CEO of combined Pinnacle+STRI)",Unknown,Unknown,Unknown,unitedstates@bitrialsupport.com,https://www.linkedin.com/company/south-texas-research-institute,N,"Strong - specialized in fatty liver/NASH, diverse Rio Grande Valley population, patient-centered approach","Multi-location network (2 sites: Edinburg, Brownsville TX). 9 active recruiting cardiometabolic trials per ClinicalTrials.gov. Founded 2020, acquired by Pinnacle Jan 2023. Specialized expertise in NASH/liver disease, two of country's leading NASH enrollment sites. Rio Grande Valley focus on underserved/diverse populations. Limited to specialty indications; no broad cardiometabolic recruitment advertising."
